Project,Address,Address (Obscured),Address_Clean,Watershed,Building Use,"Solar over Ecoroof",Type,Year Built,Size (sf),Number,Latitude(Non Obscured),Longitude (Non Obscured),Confidence (Non Obscured),Latitude,Longitude,Confidence,Depth Min,Depth Max,Depth Notes,Composition,Irrigation,Irrigation Notes,Drainage,Plants,Maintenance,Contractor,Notes
residence,4067 SE Pardee St,SE 41st Ave and SE Pardee St,4067 SE PARDEE ST,Willamette,residential,,New,2011,50,1,45.4897728,-122.6203308,High,45.48955,-122.620,High,,,,,,,,,,,
residence,1304 SE 53rd Ave,SE 53rd Ave and SE Salmon St,1304 SE 53RD AVE,Willamette,residential,,New,2003,450,1,45.51342773,-122.6080933,High,45.51425,-122.608,High,,,,,,,,,,,
Apex Wellness Center,5308 SE Rhone St,5308 SE Rhone St,5308 SE RHONE ST,Willamette,commercial,,New,2011,145,1,45.49594116,-122.6077728,High,45.49614,-122.607,High,,,,,,,,,,,
residence,1902 SE 56th Ave,SE 56th Ave and SE Lincoln St,1902 SE 56TH AVE,Willamette,residential,,New,2013,2534,1,45.50930053,-122.6054632,High,45.50804,-122.606,High,,,,,,,,,,,
residence,4709 SE 64th Ave,SE 64th Ave and SE Schiller St,4709 SE 64TH AVE,Willamette,residential,,New,2004,430,3,45.48876572,-122.5972366,High,45.48839,-122.597,High,,,,,,,,,,,
residence,37 SE 65th Ave,SE 65th Ave and E Burnside St,37 SE 65th Ave,Willamette,residential,,Reroof,2013,,2,45.5230502,-122.59755,High,45.52305,-122.598,High,,,,,,,,,,,
residence,8006 SE Lafayette St,SE 80th Ave and Lafayette,8006 SE LAFAYETTE ST,Willamette,residential,,Reroof,2010,60,1,45.49603653,-122.5806656,High,45.49619,-122.581,High,,,,,,,,,,,
residence,8747 SE Steele St,SE 88th Ave and SE Steele St,8747 SE STEELE ST,Johnson Creek,residential,,Reroof,2012,1050,1,45.48478317,-122.5725708,High,45.48474,-122.572,Manual,4,4,4,Phillip's Soil Products Extensive Mix,Yes,Hand,,,,,
residence,8503 SE 9th Ave,SE 9th Ave and SE Sherrett St,8503 SE 9TH AVE,Willamette,residential,,New,2007,100,1,45.4613266,-122.65728,High,45.46148,-122.657,High,,,,,,,,,,,
residence,3527 SE Ankeny St,SE Ankeny St and SE Laurelhurst Pl,3527 SE ANKENY ST,Willamette,residential,,Reroof,2012,360,1,45.52243805,-122.6267624,High,45.52238,-122.626,High,,,,,,,,,,,
residence,1842 SE Hazel St,SE Hazel St and SE Locust Ave-Elliot Ave Alley,1842 SE HAZEL ST,Willamette,residential,,Reroof,2013,322,1,45.50965881,-122.6468582,High,45.50992,-122.647,Manual,,,Variety (Garden boxes on roof),soil mix and pumice,,,,,,,
residence,1233 SE Main St,SE Main St and SE 13th Ave,1233 SE MAIN ST,Willamette,residential,,,,60,1,45.51379776,-122.6528702,High,45.51364,-122.653,High,,,,,,,,,,,
residence,6607 SE Scott Dr,SE Scott Dr and SE 66th Pl,6607 SE SCOTT DR,Willamette,residential,,Reroof,2008,3000,1,45.51826096,-122.5953903,High,45.51794,-122.595,High,,,,,,,,,,,
residence,9777 SE Tenino Ct,SE Tenino Ct and SE Clatsop St,9777 SE TENINO CT,Johnson Creek,residential,,New,2003,720,1,45.45980453,-122.5654068,High,45.46129,-122.565,High,,,,,,,,,,,
residence,4103 SE Yamhill St,SE Yamhill St and SE 42nd Ave,4103 SE YAMHILL ST,Willamette,residential,,Reroof,2010,175,1,45.51608276,-122.6200027,High,45.51583,-122.619,High,,,,,,,,,,,
residence,1532 SW Davenport St,SW 16th Ave and SW Davenport,1532 SW DAVENPORT ST,Willamette,residential,,Reroof,2010,200,1,45.506577,-122.695801,High,45.50684,-122.696,High,,,,,,,,,,,
residence,7345 SW 29th Ave,SW 29th Ave and SW Miles St,7345 SW 29TH AVE,Fanno/Tryon,residential,,Reroof,2011,75,1,45.47106934,-122.7069778,High,45.47068,-122.707,High,,,,,,,,,,,
residence,3720 SW Vacuna St,SW 37th Ave and SW Vacuna St,3720 SW VACUNA ST,Fanno/Tryon,residential,,New,2008,740,2,45.44163895,-122.7154694,High,45.44181,-122.715,High,6,6,,Pro Gro Extensive Mix,,,,,,,
residence,4527 SW Cameron Rd,SW 45th Ave and SW Cameron Rd,4527 SW CAMERON RD,Fanno/Tryon,residential,,Reroof,2011,160,1,45.48372269,-122.7238464,High,45.48350,-122.723,High,,,,,,,,,,,
residence,4711 SW Vesta St,SW 47th Ave and SW Vesta St,4711 SW VESTA ST,Fanno/Tryon,residential,,New,2007,200,1,45.44132614,-122.7255173,High,45.44111,-122.725,High,,,,,,,,,,,
residence,3344 SW 48th Ave,SW 48th Ave and SW Patton Rd,3344 SW 48TH AVE,Fanno/Tryon,residential,,New,2010,1300,1,45.49869919,-122.7256622,High,45.49828,-122.726,High,,,,,,,,,,,
residence,7522 SW 59th Ave,SW 59th Ave and SW Logan Ct,7522 SW 59TH AVE,Fanno/Tryon,residential,,New,2010,225,1,45.47036362,-122.7370071,High,45.47058,-122.737,High,,,,,,,,,,,
residence,SW 9th and Evans St,"SW 9th and Evans St, Portland",910 SW EVANS ST,Willamette,residential,,Reroof,2012,64,1,45.46669388,-122.6879501,High,45.46682,-122.688,High,,,,,,,,,,,
residence,10930 SW Boones Ferry Rd,SW Boones Ferry Rd and SW Arnold St,10930 SW BOONES FERRY RD,Fanno/Tryon,residential,,Reroof,2013,680,1,45.44635773,-122.6858826,High,45.44661,-122.687,High,,,,,,,,,,,
residence,2926 SW Boundary St,SW Boundary St and SW Dosch Rd,2926 SW BOUNDARY ST,Fanno/Tryon,residential,,New,2010,750,2,45.48448181,-122.7072906,High,45.48476,-122.708,High,,,,,,,,,,,
residence,5944 SW Canby St,SW Canby St and SW 60th Ave,5944 SW CANBY ST,Fanno/Tryon,residential,,New,2004,270,1,45.46884918,-122.7381668,High,45.46943,-122.738,High,,,,,,,,,,,
